Date,Open*,High,Low,Close**,Volume,Market Cap
18-Feb-22,2884.34,2937.31,2761.64,2785.73,15748173433,333274482393
17-Feb-22,3126.86,3154.62,2861.85,2881.48,15860206214,344691405366
16-Feb-22,3180.45,3181.62,3055.17,3127.83,12352406833,374117832127
15-Feb-22,2933.73,3185.52,2917.86,3179.88,13921257873,380300250254
14-Feb-22,2880.19,2957.96,2840.26,2933.48,12164552172,350792159064
13-Feb-22,2916.79,2947.78,2845.40,2883.46,9054963563,344772260795
12-Feb-22,2927.39,2980.08,2870.18,2917.36,11254355757,348785733007
11-Feb-22,3077.41,3127.45,2888.71,2927.38,16043881065,349944259218
10-Feb-22,3240.11,3271.32,3070.38,3077.48,18629485080,367845386121
9-Feb-22,3121.18,3263.16,3063.16,3239.46,13951308490,387161915316
8-Feb-22,3143.01,3219.47,3038.38,3122.61,17136080906,373154427925
7-Feb-22,3057.42,3182.53,3002.93,3142.47,15197063785,375485569686
6-Feb-22,3014.96,3061.26,2965.43,3057.48,9466018022,365288302067
5-Feb-22,2984.45,3054.13,2966.78,3014.65,13102093957,360130344738
4-Feb-22,2681.06,2983.59,2675.44,2983.59,18987223729,356379709501
3-Feb-22,2682.23,2712.48,2587.78,2679.16,12755505065,319980125796
2-Feb-22,2791.96,2802.21,2630.12,2682.85,13876301217,320384932826
1-Feb-22,2687.90,2802.32,2682.62,2792.12,13194846235,333395296200
31-Jan-22,2603.26,2697.74,2489.07,2688.28,13778234614,320959888865
30-Jan-22,2598.56,2631.41,2550.46,2603.47,9501221177,310798780839
29-Jan-22,2546.59,2627.61,2526.99,2597.08,11172062661,310001494765
28-Jan-22,2421.65,2548.78,2367.83,2547.09,14666227351,303999533601
27-Jan-22,2467.19,2510.45,2328.45,2423.00,16126522783,289156264094
26-Jan-22,2455.58,2705.78,2417.68,2468.03,21229909340,294496473175
25-Jan-22,2440.39,2498.51,2359.38,2455.93,16179776932,293019902304
24-Jan-22,2535.89,2537.21,2172.30,2440.35,28220804648,291127719901
23-Jan-22,2406.92,2542.14,2381.52,2535.04,16481489511,302389263381
22-Jan-22,2561.15,2615.25,2330.25,2405.18,27369692036,286866655647
21-Jan-22,3002.96,3029.08,2496.81,2557.93,26796291874,305050189407
20-Jan-22,3095.27,3265.34,3000.91,3001.12,10645922764,357862901302
19-Jan-22,3163.85,3171.16,3055.21,3095.83,13187424144,369113617589
18-Jan-22,3212.29,3236.02,3096.12,3164.03,13024154091,377202294416
17-Jan-22,3350.95,3355.82,3157.22,3212.30,12344309617,382914238639
16-Jan-22,3330.39,3376.40,3291.56,3350.92,9505934874,399392136112
15-Jan-22,3309.84,3364.54,3278.67,3330.53,9619999078,396916629873
14-Jan-22,3248.65,3330.77,3203.82,3310.00,13562957230,394425210962
13-Jan-22,3372.10,3396.97,3247.92,3248.29,15294466275,387027270412
12-Jan-22,3238.45,3401.22,3216.72,3372.26,16662871689,401752380546
11-Jan-22,3082.99,3247.51,3061.14,3238.11,15211447193,385726806148
10-Jan-22,3157.57,3177.21,2947.68,3083.10,19535744145,367219283311
9-Jan-22,3091.70,3206.79,3075.91,3157.75,12334683863,376068612894
8-Jan-22,3193.50,3240.30,3020.88,3091.97,16037732700,368192421487
7-Jan-22,3417.84,3420.46,3117.38,3193.21,24494179209,380204321962
6-Jan-22,3549.71,3549.71,3335.38,3418.41,24293791313,406971721364
5-Jan-22,3794.27,3842.06,3456.75,3550.39,18061338502,422636379036
4-Jan-22,3761.36,3876.79,3723.35,3794.06,14030925983,451591466825
3-Jan-22,3829.54,3836.20,3698.05,3761.38,12080777893,447650792404
2-Jan-22,3769.30,3836.16,3727.36,3829.57,9881471548,455713570381
1-Jan-22,3683.05,3769.92,3682.29,3769.70,9776191466,448537615143
