Open*,High,Low,Volume
2884.34,2937.31,2761.64,15748173433
3126.86,3154.62,2861.85,15860206214
3180.45,3181.62,3055.17,12352406833
2933.73,3185.52,2917.86,13921257873
2880.19,2957.96,2840.26,12164552172
2916.79,2947.78,2845.4,9054963563
2927.39,2980.08,2870.18,11254355757
3077.41,3127.45,2888.71,16043881065
3240.11,3271.32,3070.38,18629485080
3121.18,3263.16,3063.16,13951308490
3143.01,3219.47,3038.38,17136080906
3057.42,3182.53,3002.93,15197063785
3014.96,3061.26,2965.43,9466018022
2984.45,3054.13,2966.78,13102093957
2681.06,2983.59,2675.44,18987223729
2682.23,2712.48,2587.78,12755505065
2791.96,2802.21,2630.12,13876301217
2687.9,2802.32,2682.62,13194846235
2603.26,2697.74,2489.07,13778234614
2598.56,2631.41,2550.46,9501221177
2546.59,2627.61,2526.99,11172062661
2421.65,2548.78,2367.83,14666227351
2467.19,2510.45,2328.45,16126522783
2455.58,2705.78,2417.68,21229909340
2440.39,2498.51,2359.38,16179776932
2535.89,2537.21,2172.3,28220804648
2406.92,2542.14,2381.52,16481489511
2561.15,2615.25,2330.25,27369692036
3002.96,3029.08,2496.81,26796291874
3095.27,3265.34,3000.91,10645922764
3163.85,3171.16,3055.21,13187424144
3212.29,3236.02,3096.12,13024154091
3350.95,3355.82,3157.22,12344309617
3330.39,3376.4,3291.56,9505934874
3309.84,3364.54,3278.67,9619999078
3248.65,3330.77,3203.82,13562957230
3372.1,3396.97,3247.92,15294466275
3238.45,3401.22,3216.72,16662871689
3082.99,3247.51,3061.14,15211447193
3157.57,3177.21,2947.68,19535744145
3091.7,3206.79,3075.91,12334683863
3193.5,3240.3,3020.88,16037732700
3417.84,3420.46,3117.38,24494179209
3549.71,3549.71,3335.38,24293791313
3794.27,3842.06,3456.75,18061338502
3761.36,3876.79,3723.35,14030925983
3829.54,3836.2,3698.05,12080777893
3769.3,3836.16,3727.36,9881471548
3683.05,3769.92,3682.29,9776191466
