Date,Open*,High,Low,Close**,Volume,Market Cap
31-Jan-22,2603.26,2697.74,2489.07,2688.28,13778234614,3.2096E+11
30-Jan-22,2598.56,2631.41,2550.46,2603.47,9501221177,3.10799E+11
29-Jan-22,2546.59,2627.61,2526.99,2597.08,11172062661,3.10001E+11
28-Jan-22,2421.65,2548.78,2367.83,2547.09,14666227351,3.04E+11
27-Jan-22,2467.19,2510.45,2328.45,2423,16126522783,2.89156E+11
26-Jan-22,2455.58,2705.78,2417.68,2468.03,21229909340,2.94496E+11
25-Jan-22,2440.39,2498.51,2359.38,2455.93,16179776932,2.9302E+11
24-Jan-22,2535.89,2537.21,2172.3,2440.35,28220804648,2.91128E+11
23-Jan-22,2406.92,2542.14,2381.52,2535.04,16481489511,3.02389E+11
22-Jan-22,2561.15,2615.25,2330.25,2405.18,27369692036,2.86867E+11
21-Jan-22,3002.96,3029.08,2496.81,2557.93,26796291874,3.0505E+11
20-Jan-22,3095.27,3265.34,3000.91,3001.12,10645922764,3.57863E+11
19-Jan-22,3163.85,3171.16,3055.21,3095.83,13187424144,3.69114E+11
18-Jan-22,3212.29,3236.02,3096.12,3164.03,13024154091,3.77202E+11
17-Jan-22,3350.95,3355.82,3157.22,3212.3,12344309617,3.82914E+11
16-Jan-22,3330.39,3376.4,3291.56,3350.92,9505934874,3.99392E+11
15-Jan-22,3309.84,3364.54,3278.67,3330.53,9619999078,3.96917E+11
14-Jan-22,3248.65,3330.77,3203.82,3310,13562957230,3.94425E+11
13-Jan-22,3372.1,3396.97,3247.92,3248.29,15294466275,3.87027E+11
12-Jan-22,3238.45,3401.22,3216.72,3372.26,16662871689,4.01752E+11
11-Jan-22,3082.99,3247.51,3061.14,3238.11,15211447193,3.85727E+11
10-Jan-22,3157.57,3177.21,2947.68,3083.1,19535744145,3.67219E+11
9-Jan-22,3091.7,3206.79,3075.91,3157.75,12334683863,3.76069E+11
8-Jan-22,3193.5,3240.3,3020.88,3091.97,16037732700,3.68192E+11
7-Jan-22,3417.84,3420.46,3117.38,3193.21,24494179209,3.80204E+11
6-Jan-22,3549.71,3549.71,3335.38,3418.41,24293791313,4.06972E+11
5-Jan-22,3794.27,3842.06,3456.75,3550.39,18061338502,4.22636E+11
4-Jan-22,3761.36,3876.79,3723.35,3794.06,14030925983,4.51591E+11
3-Jan-22,3829.54,3836.2,3698.05,3761.38,12080777893,4.47651E+11
2-Jan-22,3769.3,3836.16,3727.36,3829.57,9881471548,4.55714E+11
1-Jan-22,3683.05,3769.92,3682.29,3769.7,9776191466,4.48538E+11
31-Dec-21,3713.43,3807.29,3636.87,3682.63,14157285268,4.38128E+11
30-Dec-21,3632.22,3767.56,3595.2,3713.85,12925377999,4.41793E+11
29-Dec-21,3797.44,3827.98,3612.8,3628.53,15722555672,4.31594E+11
28-Dec-21,4037.54,4037.54,3769.28,3800.89,17299472803,4.52043E+11
27-Dec-21,4064.75,4126,4033.49,4037.55,11424360002,4.80134E+11
26-Dec-21,4094.15,4105.02,4013.03,4067.33,11197244172,4.8362E+11
25-Dec-21,4049.78,4138.57,4027.93,4093.28,10894785525,4.86651E+11
24-Dec-21,4111.34,4134.11,4029.06,4047.98,12769090623,4.8121E+11
23-Dec-21,3981.96,4149.03,3897.23,4108.02,18007273742,4.88291E+11
22-Dec-21,4018.7,4073.79,3947.69,3982.1,13921756199,4.7327E+11
21-Dec-21,3938.46,4058.82,3918.84,4020.26,16388555198,4.77751E+11
20-Dec-21,3923.7,3980.1,3759.4,3933.84,21589690675,4.67429E+11
19-Dec-21,3960.87,4018.66,3894.4,3922.59,16167785597,4.66038E+11
18-Dec-21,3880.29,3993.83,3774.62,3960.86,19530895889,4.70531E+11
17-Dec-21,3959.01,3992.79,3711.42,3879.49,23143541098,4.60811E+11
16-Dec-21,4020.41,4110.37,3956.06,3962.47,19825531254,4.70614E+11
15-Dec-21,3862.25,4086.37,3664.72,4018.39,26411188833,4.77201E+11
14-Dec-21,3782.82,3866.63,3700.1,3745.44,23836759957,4.44724E+11
13-Dec-21,4136.36,4145.96,3680.61,3784.23,23999841386,4.49291E+11
12-Dec-21,4084.81,4173.61,3993.06,4134.45,14057603914,4.90817E+11
11-Dec-21,3909.67,4095.65,3846.05,4084.45,19131502454,4.84825E+11
10-Dec-21,4113.59,4227.11,3897.77,3908.5,28014595631,4.63886E+11
9-Dec-21,4433.03,4482.31,4078.84,4119.82,22296131874,4.88911E+11
8-Dec-21,4311.67,4453.11,4234.54,4439.36,18704315119,5.26774E+11
7-Dec-21,4358.59,4428.59,4264.32,4315.06,22366213354,5.11969E+11
6-Dec-21,4199,4375.52,3930.81,4358.74,28229518513,5.17093E+11
5-Dec-21,4119.63,4246.92,4040.22,4198.32,25533062707,4.98008E+11
4-Dec-21,4227.76,4242.73,3525.49,4119.59,38478999182,4.88614E+11
3-Dec-21,4514.36,4647.29,4100.15,4220.71,25879591528,5.00552E+11
2-Dec-21,4586.33,4628.92,4441.51,4511.3,21502671027,5.34956E+11
1-Dec-21,4623.68,4780.73,4530.27,4586.99,27634826695,5.43871E+11
30-Nov-21,4447.77,4753.27,4358.07,4631.48,28626354111,5.49086E+11
29-Nov-21,4296.95,4460.85,4284.5,4445.11,19086475837,5.26931E+11
28-Nov-21,4101.65,4297.92,3989.97,4294.45,15953126340,5.09017E+11
27-Nov-21,4043,4187.68,4033.51,4096.91,16515693874,4.85548E+11
26-Nov-21,4522.21,4550.84,3933.51,4030.91,26281795488,4.77672E+11
25-Nov-21,4271.39,4550.52,4249.77,4274.74,18705358318,5.06473E+11
24-Nov-21,4340.04,4376.88,4176.18,4239.98,21838037128,5.02285E+11
23-Nov-21,4089.68,4385.48,4069.77,4340.76,22133497059,5.14218E+11
22-Nov-21,4266.51,4302.02,4033.57,4088.46,19752218877,4.84275E+11
21-Nov-21,4412.2,4422.49,4255.46,4269.73,14094831413,5.0569E+11
20-Nov-21,4298.35,4434.39,4209.24,4409.93,15448261277,5.22236E+11
19-Nov-21,3995.73,4311.71,3982.92,4298.31,20626269711,5.08961E+11
18-Nov-21,4287.8,4343.56,3959.23,4000.65,21383250893,4.73663E+11
17-Nov-21,4213.91,4300.31,4107.13,4287.59,22183461850,5.07579E+11
16-Nov-21,4570.48,4891.7,4144.33,4216.37,27417502801,4.99091E+11
15-Nov-21,4627.09,4764.64,4546.6,4557.5,16275851299,5.39411E+11
14-Nov-21,4648.63,4689.84,4516.94,4626.36,12172962219,5.47499E+11
13-Nov-21,4666.72,4702.12,4582.18,4651.46,14457436261,5.50409E+11
12-Nov-21,4724.31,4808.74,4510.92,4667.12,18316060208,5.52199E+11
11-Nov-21,4635.45,4778.06,4580.99,4730.38,17933201129,5.59622E+11
10-Nov-21,4733.36,4859.5,4485.09,4636.17,22748160545,5.48414E+11
9-Nov-21,4810.07,4837.59,4718.04,4735.07,20834172627,5.60049E+11
8-Nov-21,4619.65,4822.36,4619.65,4812.09,19290896267,5.69094E+11
7-Nov-21,4523.98,4640.92,4510.98,4620.55,13541376033,5.46382E+11
6-Nov-21,4482.65,4531,4334.97,4521.58,14429076700,5.34617E+11
5-Nov-21,4537.42,4570.9,4447.49,4486.24,15086003586,5.30379E+11
4-Nov-21,4604.68,4606.52,4426.62,4537.32,18415244464,5.36357E+11
3-Nov-21,4589.68,4664.91,4462.98,4607.19,21220463155,5.44555E+11
