Date,Open*,High,Low,Close**,Volume,Market Cap
18-Feb-22,116.33,121.54,114.92,115.20,1205742846,8025593311
17-Feb-22,128.10,128.73,115.71,116.30,938120691,8101712520
16-Feb-22,131.76,131.77,126.02,128.16,715637001,8926909807
15-Feb-22,124.79,132.11,124.24,131.76,783234535,9176898885
14-Feb-22,126.13,126.64,122.24,124.80,712457600,8691113990
13-Feb-22,126.67,128.64,124.22,126.20,688706404,8787953886
12-Feb-22,126.01,127.58,122.20,126.68,832593853,8820467615
11-Feb-22,135.09,135.09,125.37,126.03,1080587719,8774099637
10-Feb-22,140.17,143.23,135.09,135.09,1276403767,9403750664
9-Feb-22,133.96,140.79,132.81,140.17,1036393461,9756599759
8-Feb-22,137.14,142.35,131.00,133.99,1373203815,9325370842
7-Feb-22,127.44,139.24,125.56,137.11,1131143500,9541211263
6-Feb-22,121.92,127.45,121.43,127.45,782675364,8867877411
5-Feb-22,120.92,123.39,119.25,121.92,736360985,8482327381
4-Feb-22,110.29,120.92,109.00,120.92,953726676,8412020793
3-Feb-22,108.53,110.29,106.42,110.29,683428425,7671625220
2-Feb-22,115.40,115.88,108.44,108.56,743395485,7550467073
1-Feb-22,109.59,116.37,108.66,115.40,824048434,8025814828
31-Jan-22,108.80,110.99,105.02,109.59,691404381,7620639245
30-Jan-22,110.83,112.04,107.72,108.80,537737428,7565012829
29-Jan-22,109.43,111.85,108.31,110.82,592402655,7704932618
28-Jan-22,106.93,109.84,105.82,109.43,683706404,7607426185
27-Jan-22,107.26,109.47,103.78,106.95,825647673,7434279243
26-Jan-22,108.06,115.78,105.85,107.28,1064088735,7456293256
25-Jan-22,109.59,109.68,106.34,108.07,909091096,7509984203
24-Jan-22,112.10,112.19,98.67,109.59,1645918728,7615197811
23-Jan-22,108.46,112.39,106.60,112.09,1135598050,7787951670
22-Jan-22,114.42,116.68,99.76,108.43,2098519931,7532801997
21-Jan-22,130.39,130.82,112.43,114.39,1680709016,7946260522
20-Jan-22,136.90,142.53,130.36,130.36,706911161,9054919066
19-Jan-22,141.89,142.83,133.74,136.92,926249070,9509006509
18-Jan-22,151.65,152.90,139.52,141.89,1278790664,9853484851
17-Jan-22,146.53,153.14,145.17,151.67,1608309071,10531292918
16-Jan-22,147.93,148.78,144.25,146.53,756580688,10173678293
15-Jan-22,144.72,149.92,144.46,147.94,1001838786,10270087564
14-Jan-22,136.65,146.02,136.36,144.72,1204657825,10046035855
13-Jan-22,141.74,142.05,135.36,136.64,886433982,9483562472
12-Jan-22,131.55,141.74,131.27,141.74,881585292,9836504305
11-Jan-22,126.83,133.21,126.29,131.54,834900749,9128177251
10-Jan-22,131.30,131.52,122.63,126.83,1097888042,8800375414
9-Jan-22,130.14,132.48,128.81,131.30,710682825,9109263740
8-Jan-22,131.49,134.63,126.75,130.14,1002118315,9027887393
7-Jan-22,136.49,136.53,128.08,131.49,1364180297,9120728568
6-Jan-22,136.08,137.75,133.32,136.50,1136595284,9467618738
5-Jan-22,146.81,149.55,132.10,136.09,1304198400,9437794079
4-Jan-22,148.47,151.33,146.56,146.81,789511706,10180447322
3-Jan-22,151.26,151.26,146.67,148.46,755658603,10293746769
2-Jan-22,150.69,152.94,148.66,151.26,680239631,10486459760
1-Jan-22,146.54,150.75,146.46,150.70,691648227,10446644958
31-Dec-21,148.21,152.25,144.56,146.51,1051011688,10155516013
30-Dec-21,145.59,149.87,143.24,148.29,838034968,10277205859
29-Dec-21,145.94,150.61,144.58,145.51,1081715291,10083960341
