Open*,High,Low,Volume
116.33,121.54,114.92,1205742846
128.1,128.73,115.71,938120691
131.76,131.77,126.02,715637001
124.79,132.11,124.24,783234535
126.13,126.64,122.24,712457600
126.67,128.64,124.22,688706404
126.01,127.58,122.2,832593853
135.09,135.09,125.37,1080587719
140.17,143.23,135.09,1276403767
133.96,140.79,132.81,1036393461
137.14,142.35,131,1373203815
127.44,139.24,125.56,1131143500
121.92,127.45,121.43,782675364
120.92,123.39,119.25,736360985
110.29,120.92,109,953726676
108.53,110.29,106.42,683428425
115.4,115.88,108.44,743395485
109.59,116.37,108.66,824048434
108.8,110.99,105.02,691404381
110.83,112.04,107.72,537737428
109.43,111.85,108.31,592402655
106.93,109.84,105.82,683706404
107.26,109.47,103.78,825647673
108.06,115.78,105.85,1064088735
109.59,109.68,106.34,909091096
112.1,112.19,98.67,1645918728
108.46,112.39,106.6,1135598050
114.42,116.68,99.76,2098519931
130.39,130.82,112.43,1680709016
136.9,142.53,130.36,706911161
141.89,142.83,133.74,926249070
151.65,152.9,139.52,1278790664
146.53,153.14,145.17,1608309071
147.93,148.78,144.25,756580688
144.72,149.92,144.46,1001838786
136.65,146.02,136.36,1204657825
141.74,142.05,135.36,886433982
131.55,141.74,131.27,881585292
126.83,133.21,126.29,834900749
131.3,131.52,122.63,1097888042
130.14,132.48,128.81,710682825
131.49,134.63,126.75,1002118315
136.49,136.53,128.08,1364180297
136.08,137.75,133.32,1136595284
146.81,149.55,132.1,1304198400
148.47,151.33,146.56,789511706
151.26,151.26,146.67,755658603
150.69,152.94,148.66,680239631
146.54,150.75,146.46,691648227
