Open*,High,Low,Volume
1.88E-08,2.02E-08,1.68E-08,14450435
1.85E-08,1.89E-08,1.65E-08,10809249
1.97E-08,1.97E-08,1.80E-08,8889964
1.91E-08,2.02E-08,1.86E-08,12862550
1.80E-08,2.12E-08,1.68E-08,12263913
2.00E-08,2.02E-08,1.72E-08,11615385
1.72E-08,2.12E-08,1.62E-08,21724979
2.09E-08,2.18E-08,1.72E-08,26406683
2.88E-08,2.92E-08,2.05E-08,48598653
3.02E-08,3.11E-08,2.78E-08,21517492
2.61E-08,3.27E-08,2.38E-08,25958792
2.50E-08,2.76E-08,2.39E-08,14837414
2.49E-08,2.53E-08,2.31E-08,11356548
2.59E-08,2.67E-08,2.47E-08,11103224
2.35E-08,2.72E-08,2.25E-08,17134443
2.74E-08,2.80E-08,2.22E-08,16345828
2.66E-08,3.32E-08,2.66E-08,20033823
3.05E-08,3.05E-08,2.30E-08,23966747
3.33E-08,3.34E-08,2.91E-08,16928860
3.24E-08,3.72E-08,2.92E-08,28643909
2.62E-08,4.15E-08,2.51E-08,40386571
2.15E-08,2.92E-08,1.96E-08,28999060
2.35E-08,2.40E-08,2.09E-08,8493627
2.41E-08,2.45E-08,2.24E-08,10877596
2.64E-08,2.71E-08,2.19E-08,15847268
2.96E-08,2.98E-08,2.29E-08,11908773
2.37E-08,3.25E-08,2.33E-08,20796791
2.20E-08,2.54E-08,1.92E-08,16689234
3.20E-08,0.000000033,2.02E-08,38291589
3.68E-08,3.74E-08,0.000000032,16134402
3.75E-08,3.82E-08,3.43E-08,12242350
3.87E-08,3.93E-08,3.61E-08,12584718
4.36E-08,4.38E-08,3.83E-08,11361371
3.95E-08,4.44E-08,3.71E-08,23095383
4.02E-08,4.38E-08,3.85E-08,19200279
4.45E-08,4.59E-08,3.85E-08,22760156
4.75E-08,4.79E-08,4.36E-08,12060118
4.70E-08,4.96E-08,4.17E-08,30007600
5.07E-08,5.22E-08,4.70E-08,16016602
5.06E-08,6.05E-08,4.96E-08,30660460
5.61E-08,5.70E-08,4.86E-08,33605461
6.78E-08,6.92E-08,4.87E-08,60989885
7.55E-08,7.66E-08,6.66E-08,33932610
7.07E-08,7.82E-08,6.94E-08,33505885
8.45E-08,8.49E-08,6.43E-08,57618688
6.63E-08,8.86E-08,6.63E-08,96159378
5.23E-08,6.87E-08,5.10E-08,39076070
5.10E-08,5.31E-08,4.92E-08,11176208
4.85E-08,5.11E-08,4.82E-08,9894726
