Open*,High,Low,Volume
0.00002817,0.00002989,0.00002792,1458694142
0.00003092,0.00003232,0.0000279,2067544526
0.00003125,0.00003144,0.0000301,1350071541
0.00002959,0.00003168,0.00002959,1602354887
0.00003023,0.00003075,0.00002879,1558119657
0.00002908,0.00003204,0.00002854,2065365631
0.00002868,0.00002978,0.00002774,1683120664
0.00003084,0.00003223,0.0000281,2012806768
0.00003286,0.0000336,0.00003069,2546459745
0.00003104,0.00003387,0.00003059,2365650708
0.00003258,0.0000349,0.00002953,3618590002
0.00002845,0.00003493,0.00002727,4764331366
0.00002252,0.00002841,0.00002237,2156462842
0.00002219,0.00002378,0.00002209,842566055
0.00002068,0.00002223,0.00002056,609855710
0.00002062,0.00002079,0.00002021,421850042
0.00002173,0.00002185,0.00002047,484518640
0.00002143,0.00002197,0.00002118,519254046
0.0000211,0.00002154,0.00002026,531285879
0.00002163,0.00002213,0.00002093,488342024
0.00002131,0.00002222,0.00002121,551033703
0.00002127,0.00002139,0.00002041,538455794
0.00002115,0.0000216,0.00002008,890469542
0.00002106,0.00002338,0.00002058,1155008423
0.0000212,0.00002157,0.00002028,1047337942
0.00002245,0.00002286,0.00001884,1924476636
0.00002052,0.00002354,0.00002052,1957464251
0.00002224,0.00002244,0.00001744,2140529993
0.00002645,0.00002677,0.00002196,1422249920
0.00002734,0.00002871,0.00002643,380410746
0.00002813,0.00002824,0.00002722,644592746
0.00002882,0.00002945,0.00002754,817784966
0.00003052,0.00003057,0.00002841,758868918
0.00003088,0.00003094,0.00003019,613620998
0.00003085,0.00003146,0.00003067,697319385
0.00002965,0.00003247,0.00002942,1538750911
0.0000317,0.00003255,0.00002931,1435576624
0.0000277,0.0000324,0.00002765,1541810685
0.00002678,0.00002818,0.00002645,856528185
0.00002833,0.00002869,0.00002567,1044022667
0.00002779,0.00002905,0.00002762,741130328
0.00002901,0.00002987,0.00002683,1081101278
0.00003075,0.00003082,0.00002873,1169467775
0.00003044,0.00003165,0.00002937,1172523092
0.00003247,0.00003294,0.00002903,1138566779
0.00003308,0.00003346,0.00003247,717218977
0.00003404,0.00003407,0.00003238,720676202
0.00003413,0.00003441,0.00003355,574109134
0.00003342,0.00003415,0.00003341,608789558
