Date,Open*,High,Low,Close**,Volume,Market Cap
18-Feb-22,0.76730,0.80390,0.76030,0.78590,2913093056,37682867753
17-Feb-22,0.83870,0.84410,0.75820,0.76720,2798023719,36785413824
16-Feb-22,0.85240,0.85240,0.81310,0.83900,2165008058,40180105122
15-Feb-22,0.80220,0.85590,0.79830,0.85230,2249706300,40816850707
14-Feb-22,0.80990,0.81050,0.78260,0.80220,2401300497,38372052719
13-Feb-22,0.82220,0.84430,0.79630,0.81030,2504198747,38757348317
12-Feb-22,0.76020,0.84880,0.75300,0.82240,3457258389,39337817275
11-Feb-22,0.82990,0.82990,0.75430,0.76020,3346204748,36363472398
10-Feb-22,0.87090,0.89460,0.82990,0.83000,3535002566,39701428233
9-Feb-22,0.87750,0.90910,0.84740,0.87060,3760269362,41644223972
8-Feb-22,0.82840,0.91110,0.80620,0.87820,6159382645,42006172833
7-Feb-22,0.68360,0.83420,0.67440,0.82780,4197403037,39596604271
6-Feb-22,0.66710,0.68520,0.66230,0.68360,1095140341,32700536071
5-Feb-22,0.65580,0.68370,0.65230,0.66710,1760389771,31910303814
4-Feb-22,0.60760,0.65650,0.60520,0.65590,1543180484,31372230240
3-Feb-22,0.60140,0.60770,0.59230,0.60770,1042290345,29067008485
2-Feb-22,0.62920,0.63070,0.59910,0.60150,1182736030,28712954961
1-Feb-22,0.61900,0.63030,0.61300,0.62920,1183031072,30037662360
31-Jan-22,0.60310,0.62230,0.58280,0.61910,1266538239,29556246106
30-Jan-22,0.61700,0.62250,0.59980,0.60320,870878596,28793982070
29-Jan-22,0.61250,0.62340,0.61030,0.61690,958847124,29450587009
28-Jan-22,0.60860,0.61290,0.59340,0.61250,1318006848,29239432357
27-Jan-22,0.62190,0.62350,0.59150,0.60880,1586137620,29060812990
26-Jan-22,0.61750,0.65250,0.60860,0.62210,2302112575,29695823921
25-Jan-22,0.61210,0.62120,0.58990,0.61760,1731121388,29480540847
24-Jan-22,0.62880,0.62880,0.55870,0.61210,2759980202,29221617471
23-Jan-22,0.59620,0.63400,0.59380,0.62880,1851934913,30014890499
22-Jan-22,0.63600,0.65180,0.55940,0.59600,3613862355,28453215896
21-Jan-22,0.71960,0.72820,0.62320,0.63570,3150758603,30348183253
20-Jan-22,0.73970,0.76160,0.71940,0.71940,1251475248,34289841110
19-Jan-22,0.75260,0.75320,0.72650,0.73970,1446126322,35258733501
