Open*,High,Low,Volume
0.7673,0.8039,0.7603,2913093056
0.8387,0.8441,0.7582,2798023719
0.8524,0.8524,0.8131,2165008058
0.8022,0.8559,0.7983,2249706300
0.8099,0.8105,0.7826,2401300497
0.8222,0.8443,0.7963,2504198747
0.7602,0.8488,0.753,3457258389
0.8299,0.8299,0.7543,3346204748
0.8709,0.8946,0.8299,3535002566
0.8775,0.9091,0.8474,3760269362
0.8284,0.9111,0.8062,6159382645
0.6836,0.8342,0.6744,4197403037
0.6671,0.6852,0.6623,1095140341
0.6558,0.6837,0.6523,1760389771
0.6076,0.6565,0.6052,1543180484
0.6014,0.6077,0.5923,1042290345
0.6292,0.6307,0.5991,1182736030
0.619,0.6303,0.613,1183031072
0.6031,0.6223,0.5828,1266538239
0.617,0.6225,0.5998,870878596
0.6125,0.6234,0.6103,958847124
0.6086,0.6129,0.5934,1318006848
0.6219,0.6235,0.5915,1586137620
0.6175,0.6525,0.6086,2302112575
0.6121,0.6212,0.5899,1731121388
0.6288,0.6288,0.5587,2759980202
0.5962,0.634,0.5938,1851934913
0.636,0.6518,0.5594,3613862355
0.7196,0.7282,0.6232,3150758603
0.7397,0.7616,0.7194,1251475248
0.7526,0.7532,0.7265,1446126322
0.7628,0.768,0.7395,1510069237
0.779,0.7802,0.7524,1406443014
0.7813,0.784,0.771,1005077258
0.7743,0.7889,0.7709,1029135167
0.7684,0.7894,0.7556,1576111969
0.7995,0.801,0.7631,1578656460
0.7706,0.806,0.7596,1976047994
0.7394,0.7735,0.7342,1897366203
0.7544,0.7585,0.7055,2014043704
0.7477,0.7663,0.7415,1182503166
0.7631,0.7751,0.7278,1792091501
0.7813,0.7813,0.7346,2329624598
0.7743,0.7892,0.7443,2165022786
0.8247,0.8355,0.7327,2252733064
0.8329,0.8441,0.8196,1514079366
0.8591,0.8591,0.8241,1428968710
0.8494,0.8636,0.8392,1134033205
0.8313,0.8532,0.8307,1156464024
