Date,Open*,High,Low,Close**,Volume,Market Cap
31-Dec-21,0.8397,0.8529,0.8058,0.8312,1736939791,39510117215
30-Dec-21,0.8179,0.8563,0.8045,0.8396,1880399926,39913519000
29-Dec-21,0.8531,0.865,0.8137,0.8167,2050248751,38823298887
28-Dec-21,0.9268,0.9268,0.8487,0.853,2281985956,40546296042
27-Dec-21,0.9208,0.9559,0.9145,0.9262,1788981449,44027073353
26-Dec-21,0.9257,0.934,0.9073,0.9212,1324703098,43789189736
25-Dec-21,0.9124,0.9339,0.9023,0.9248,1747049348,43962148015
24-Dec-21,0.9948,0.9967,0.8991,0.912,3864725087,43355016374
23-Dec-21,0.9548,1.02,0.9408,0.9933,4257231145,47216781864
22-Dec-21,0.9481,0.9728,0.9272,0.9547,3317199427,45106931979
21-Dec-21,0.8794,0.9609,0.8544,0.9476,3748952692,44773731359
20-Dec-21,0.8359,0.9143,0.8264,0.8798,4587029518,41569511380
19-Dec-21,0.8272,0.8483,0.8213,0.835,1576121375,39453059811
18-Dec-21,0.799,0.8347,0.7928,0.8274,1806931648,39091417282
17-Dec-21,0.806,0.8286,0.7804,0.7993,2364224847,37764335881
16-Dec-21,0.8277,0.837,0.8046,0.8062,2178245900,38092182469
15-Dec-21,0.8117,0.8401,0.7798,0.8274,3088068968,39093865518
14-Dec-21,0.7828,0.8176,0.7756,0.7962,3477802545,37620617955
13-Dec-21,0.8414,0.8459,0.7645,0.7829,2509034504,36989642588
12-Dec-21,0.8387,0.8568,0.8112,0.8413,1628060313,39750263456
11-Dec-21,0.8021,0.8443,0.7894,0.8393,2056974461,39655263406
10-Dec-21,0.861,0.8834,0.7963,0.8011,3267095314,37849684985
9-Dec-21,0.8621,0.9305,0.8351,0.8613,4555815213,40692779516
8-Dec-21,0.8175,0.8856,0.8059,0.8633,3038966909,40788933387
7-Dec-21,0.8291,0.8458,0.8072,0.8186,2720124735,38676090001
6-Dec-21,0.806,0.8319,0.7523,0.8283,3447952788,39134367677
5-Dec-21,0.8467,0.8638,0.7804,0.8056,3553480780,38062181529
4-Dec-21,0.9241,0.9267,0.6145,0.847,6970805726,40019838916
3-Dec-21,0.9735,0.9853,0.906,0.9222,2714612022,43573524975
2-Dec-21,0.9909,0.9909,0.9599,0.9723,2250871711,45908803255
1-Dec-21,0.9982,1.02,0.982,0.9909,2570587577,46787835445
30-Nov-21,0.9915,1.03,0.9737,0.9988,2949826821,47100211147
29-Nov-21,0.9698,1,0.9663,0.992,2917313727,46779851696
28-Nov-21,0.9477,0.9698,0.8966,0.9688,2605488239,45685317112
27-Nov-21,0.94,0.9673,0.9366,0.9472,2410404614,44667017450
26-Nov-21,1.04,1.05,0.9254,0.9364,4293461689,44157315528
25-Nov-21,1.03,1.06,1.02,1.03,3107133471,48662772245
24-Nov-21,1.07,1.07,1.01,1.04,3151964356,49143202950
23-Nov-21,1.04,1.07,1.02,1.07,3098367613,50321301841
22-Nov-21,1.06,1.07,1.03,1.04,2844568485,48886029570
21-Nov-21,1.1,1.1,1.06,1.06,2213864918,49996674606
20-Nov-21,1.09,1.1,1.06,1.1,2575832703,51763863310
19-Nov-21,1.04,1.1,1.02,1.09,3716379231,51473654741
18-Nov-21,1.1,1.16,1.02,1.04,5394362498,49137485491
17-Nov-21,1.09,1.11,1.07,1.1,3701959225,51699946366
16-Nov-21,1.17,1.17,1.05,1.09,4829173281,51447319560
15-Nov-21,1.19,1.22,1.17,1.17,2850390389,55240642587
14-Nov-21,1.19,1.2,1.17,1.19,2210065757,56053003303
13-Nov-21,1.19,1.2,1.17,1.19,2889142419,56210559815
12-Nov-21,1.22,1.23,1.16,1.19,4230289448,56088750725
11-Nov-21,1.19,1.25,1.18,1.22,4904300953,57456775920
10-Nov-21,1.26,1.35,1.13,1.19,7430166330,56186000041
9-Nov-21,1.28,1.29,1.23,1.26,5211033825,59272552245
8-Nov-21,1.22,1.3,1.22,1.28,5547697296,60376473907
7-Nov-21,1.15,1.24,1.15,1.22,3384556620,57323540669
6-Nov-21,1.16,1.17,1.11,1.15,2630197378,54259491824
5-Nov-21,1.2,1.2,1.14,1.16,3572443866,54686911055
4-Nov-21,1.21,1.25,1.17,1.2,5210115532,56592297184
3-Nov-21,1.14,1.23,1.13,1.21,6526803610,56912140280
2-Nov-21,1.09,1.15,1.09,1.14,3609677729,53494011976
1-Nov-21,1.11,1.13,1.07,1.09,3655823943,51381421184
31-Oct-21,1.09,1.15,1.07,1.11,4607785327,52339587880
30-Oct-21,1.08,1.11,1.06,1.08,3261273038,50962128039
29-Oct-21,1.06,1.09,1.06,1.08,3549325709,50847132315
28-Oct-21,0.9952,1.08,0.9841,1.06,5528214768,49780694862
27-Oct-21,1.11,1.13,0.9702,0.9955,6433932056,46801415838
26-Oct-21,1.1,1.16,1.09,1.11,3933349796,52097271166
25-Oct-21,1.08,1.1,1.08,1.1,2595663483,51413671451
24-Oct-21,1.09,1.1,1.06,1.08,2240272602,50903113917
23-Oct-21,1.09,1.1,1.08,1.09,2236173913,51382650889
22-Oct-21,1.09,1.13,1.08,1.09,3296407032,51095191252
21-Oct-21,1.15,1.16,1.09,1.09,4035726860,51139376561
20-Oct-21,1.09,1.15,1.09,1.14,3394782025,53550188925
19-Oct-21,1.08,1.1,1.07,1.09,2586014628,51194671133
18-Oct-21,1.09,1.11,1.07,1.08,3186066188,50808473634
17-Oct-21,1.13,1.14,1.03,1.09,3227519874,51259722974
16-Oct-21,1.14,1.19,1.13,1.14,3776545069,53211168217
15-Oct-21,1.13,1.16,1.1,1.14,5364938375,53466835376
14-Oct-21,1.13,1.16,1.12,1.13,3184675623,53080820685
13-Oct-21,1.1,1.14,1.08,1.13,3675636699,52815266691
12-Oct-21,1.14,1.14,1.07,1.1,3959747373,51573371753
11-Oct-21,1.14,1.18,1.11,1.14,4022773988,53259748519
10-Oct-21,1.16,1.23,1.13,1.14,5165905723,53286170976
9-Oct-21,1.06,1.21,1.06,1.16,4844564004,54291223686
8-Oct-21,1.07,1.09,1.06,1.06,2577289115,49749449084
7-Oct-21,1.08,1.09,1.05,1.07,3192050513,49989786895
6-Oct-21,1.08,1.11,1.02,1.08,3806090854,50440520123
5-Oct-21,1.04,1.09,1.04,1.09,3251465579,50747746964
4-Oct-21,1.06,1.06,1.01,1.04,3164260800,48760908473
3-Oct-21,1.04,1.09,1.02,1.06,3496121109,49329658370
2-Oct-21,1.04,1.07,1.01,1.04,3884936924,48558526830
1-Oct-21,0.9538,1.06,0.9454,1.04,5125674349,48743111955
30-Sep-21,0.9275,0.9641,0.9229,0.9526,3051316850,44536153774
29-Sep-21,0.8946,0.9903,0.8879,0.9283,3558174320,43400740797
28-Sep-21,0.9231,0.9426,0.8925,0.8937,2818990506,41780353565
27-Sep-21,0.946,0.9815,0.9211,0.9237,3014579575,43152397720
26-Sep-21,0.9416,0.9567,0.8948,0.9447,3142032669,44135149071
25-Sep-21,0.9455,0.9569,0.9196,0.9413,3067009121,43977267939
24-Sep-21,1,1,0.8924,0.9459,4425027059,44191347620
23-Sep-21,1,1.02,0.9705,1,3734263358,46812952763
22-Sep-21,0.8738,1.01,0.8696,1,4813963292,46908062027
21-Sep-21,0.9223,0.9593,0.8607,0.8763,4787985414,40940000991
20-Sep-21,1.05,1.05,0.8879,0.9172,5775337511,42759674555
19-Sep-21,1.08,1.08,1.04,1.05,2148537763,48880060224
18-Sep-21,1.07,1.09,1.06,1.08,2308814476,50150029617
17-Sep-21,1.09,1.1,1.05,1.07,2989925804,49680556383
16-Sep-21,1.12,1.13,1.07,1.09,3168621354,50888059286
15-Sep-21,1.1,1.13,1.08,1.12,2997048680,52279978058
14-Sep-21,1.07,1.1,1.06,1.1,3378813327,51124757110
13-Sep-21,1.12,1.13,1.03,1.06,4391908806,49598337464
12-Sep-21,1.08,1.13,1.06,1.12,3403286576,52158563411
11-Sep-21,1.06,1.11,1.05,1.08,3986494412,50307743576
10-Sep-21,1.09,1.24,1.03,1.06,7726257543,49253083573
9-Sep-21,1.09,1.14,0.8383,1.09,5171653352,50750034997
8-Sep-21,1.13,1.15,1.02,1.1,7367876460,51277350704
7-Sep-21,1.39,1.39,0.9755,1.13,11310427430,52364743398
6-Sep-21,1.31,1.41,1.31,1.39,7403887685,64666529505
5-Sep-21,1.26,1.31,1.24,1.31,4077886190,60760906595
4-Sep-21,1.29,1.3,1.24,1.26,4284360888,58446890874
3-Sep-21,1.25,1.32,1.23,1.29,5896982947,60106394915
2-Sep-21,1.24,1.29,1.22,1.26,5456908792,58472249963
1-Sep-21,1.19,1.23,1.16,1.23,4937053998,57474640800
31-Aug-21,1.1,1.24,1.09,1.19,5897781233,55273333181
30-Aug-21,1.14,1.15,1.1,1.1,3635181352,51231708606
29-Aug-21,1.15,1.17,1.12,1.14,3456541619,53064210217
28-Aug-21,1.19,1.2,1.14,1.15,3655937721,53281544266
27-Aug-21,1.07,1.19,1.05,1.19,5062671613,55280177531
26-Aug-21,1.17,1.19,1.07,1.08,4914724770,50014517959
25-Aug-21,1.14,1.18,1.11,1.17,4735020572,54538542684
24-Aug-21,1.25,1.26,1.13,1.14,6109699877,52902333464
23-Aug-21,1.23,1.3,1.22,1.25,6299948689,57962916947
22-Aug-21,1.22,1.25,1.18,1.23,4452016856,57054490733
21-Aug-21,1.26,1.28,1.21,1.22,4955470066,56531735090
20-Aug-21,1.23,1.29,1.2,1.26,6600353564,58704239544
19-Aug-21,1.14,1.23,1.09,1.23,6781867994,57292421910
18-Aug-21,1.1,1.19,1.06,1.15,7559385803,53261223014
17-Aug-21,1.19,1.22,1.09,1.1,7620119367,50975782194
16-Aug-21,1.28,1.33,1.15,1.19,8364848221,55283063915
15-Aug-21,1.28,1.35,1.23,1.29,10899164864,59793290471
14-Aug-21,1.09,1.31,1.07,1.28,12107814480,59433670765
13-Aug-21,0.9671,1.09,0.9526,1.09,6425779147,50593330595
12-Aug-21,1.01,1.04,0.9247,0.9645,7613283957,44772072920
11-Aug-21,0.8513,1.09,0.8487,1.01,8213874830,46998944149
10-Aug-21,0.8173,0.8616,0.8006,0.8512,4002349584,39512827527
9-Aug-21,0.779,0.8274,0.7609,0.8186,3739417343,37995293623
8-Aug-21,0.8167,0.8384,0.7732,0.7787,3954749759,36147218021
7-Aug-21,0.7471,0.818,0.7414,0.8163,4067148040,37889814540
6-Aug-21,0.733,0.7521,0.724,0.7465,2444020492,34651347982
5-Aug-21,0.7309,0.7386,0.7024,0.7332,2387435275,33991279560
4-Aug-21,0.7136,0.7392,0.6978,0.7305,2796312041,33867793512
3-Aug-21,0.7385,0.7444,0.7019,0.7127,2857095374,33008209337
2-Aug-21,0.7241,0.7733,0.7168,0.7392,2648561558,34235061801
1-Aug-21,0.7459,0.7763,0.7073,0.7259,2529023488,33619230717
31-Jul-21,0.7522,0.7577,0.7378,0.7478,2612372196,34631811111
30-Jul-21,0.7498,0.7681,0.7158,0.7521,3328523561,34832471453
29-Jul-21,0.7326,0.7647,0.6987,0.748,3717954855,34642507878
28-Jul-21,0.6456,0.7518,0.6322,0.7254,6452960527,33597124069
